Instance,Miliseconds,Opt, optCalc,Capacity
0,0,3408,3408,997
1,0,3322,3322,982
2,1,3818,3818,998
3,0,3908,3908,1001
4,1,4195,4195,1037
5,1,4947,4947,1526
6,0,5590,5590,1828
7,1,6163,6163,1853
8,1,6876,6876,2035
9,446,7568,7568,2520
10,2,8168,8168,2558
11,2,8334,8334,2996
12,2,9747,9747,3538
13,2,10047,10047,3732
14,2,10009,10009,4554
15,2,10647,10647,4125
16,3,11426,11426,4497
17,2,11278,11278,4400
18,2,11569,11569,4595
19,3,12820,12820,4923
20,3,12498,12498,5788
21,3,13680,13680,5569
22,3,13572,13572,5602
23,3,14741,14741,6564
24,3,14942,14942,5782
25,4,15470,15470,6354
26,3,15944,15944,7221
27,3,15770,15770,5668
28,4,16295,16295,6353
29,4,17339,17339,7471
30,6,16775,16775,7639
31,4,17894,17894,7670
32,5,18752,18752,9131
33,4,18668,18668,8406
34,4,19056,19056,8440
35,4,17564,17564,7014
36,4,19553,19553,8944
37,5,19093,19093,8930
38,6,20669,20669,10494
39,5,21426,21426,10634
40,6,21102,21102,9958
41,5,20824,20824,10235
42,6,22728,22728,11493
43,6,21907,21907,10901
44,5,22331,22331,10090
45,7,24801,24801,12468
46,6,23301,23301,11031
47,6,24169,24169,12703
48,5,21782,21782,9758
49,7,24595,24595,12473
0,0,3408,3408,997
1,0,3322,3322,982
2,0,3818,3818,998
3,0,3908,3908,1001
4,1,4195,4195,1037
5,0,4947,4947,1526
6,0,5590,5590,1828
7,0,6163,6163,1853
8,1,6876,6876,2035
9,0,7568,7568,2520
10,1,8168,8168,2558
11,0,8334,8334,2996
12,1,9747,9747,3538
13,1,10047,10047,3732
14,1,10009,10009,4554
15,0,10647,10647,4125
16,1,11426,11426,4497
17,1,11278,11278,4400
18,1,11569,11569,4595
19,1,12820,12820,4923
20,2,12498,12498,5788
21,1,13680,13680,5569
22,1,13572,13572,5602
23,2,14741,14741,6564
24,1,14942,14942,5782
25,1,15470,15470,6354
26,2,15944,15944,7221
27,1,15770,15770,5668
28,1,16295,16295,6353
29,1,17339,17339,7471
30,2,16775,16775,7639
31,2,17894,17894,7670
32,3,18752,18752,9131
33,1,18668,18668,8406
34,2,19056,19056,8440
35,3,17564,17564,7014
36,2,19553,19553,8944
37,2,19093,19093,8930
38,2,20669,20669,10494
39,3,21426,21426,10634
40,2,21102,21102,9958
41,2,20824,20824,10235
42,3,22728,22728,11493
43,2,21907,21907,10901
44,2,22331,22331,10090
45,2,24801,24801,12468
46,2,23301,23301,11031
47,2,24169,24169,12703
48,2,21782,21782,9758
49,4,24595,24595,12473
